Z,Drift,CCS,CCS Std.Dev.
23,0.014516,6423.24,21.993
23,0.014655,6449.74,21.9883
23,0.014793,6475.75,21.6862
23,0.014931,6501.38,21.4727
23,0.015069,6527.07,21.777
23,0.015208,6553.18,21.9108
23,0.015346,6578.98,21.8324
23,0.015484,6604.62,21.7447
23,0.015622,6630.13,21.6992
23,0.01576,6655.54,21.6762
23,0.015899,6681.03,21.6342
23,0.016037,6706.19,21.5777
23,0.016175,6731.26,21.5786
23,0.016313,6756.27,21.5752
23,0.016452,6781.38,21.5565
23,0.01659,6806.21,21.5389
23,0.016728,6830.96,21.5221
23,0.016867,6855.8,21.5061
23,0.017005,6880.38,21.491
23,0.017143,6904.87,21.4768
23,0.017281,6929.27,21.4634
23,0.01742,6953.76,21.4507
23,0.017558,6978.0,21.4389
23,0.017696,7002.16,21.4278
23,0.017834,7026.23,21.4175
23,0.017972,7050.22,21.4079
23,0.018111,7074.31,21.3989
23,0.018249,7098.14,21.3908
23,0.018387,7121.9,21.3833
23,0.018525,7145.58,21.3765
23,0.018664,7169.35,21.3703
23,0.018802,7192.88,21.3648
23,0.01894,7216.33,21.36
23,0.019079,7239.88,21.3557
23,0.019217,7263.18,21.3521
23,0.019355,7286.41,21.3491
23,0.019493,7309.57,21.3467
23,0.019632,7332.83,21.3448
23,0.01977,7355.85,21.3435
23,0.019908,7378.79,21.3428
23,0.020046,7401.61,21.2371
23,0.020184,7424.19,20.9713
23,0.020323,7446.55,20.7498
23,0.020461,7468.78,20.9876
23,0.020599,7491.26,21.1483
23,0.020737,7513.72,21.301
23,0.020876,7536.34,21.3482
23,0.021014,7558.75,21.3515
23,0.021152,7581.09,21.3554
23,0.021291,7603.53,21.3597
23,0.021429,7625.74,21.3644
23,0.021567,7647.89,21.3696
23,0.021705,7669.98,21.3752
23,0.021844,7692.17,21.3813
23,0.021982,7714.14,21.3877
23,0.02212,7736.04,21.3946
23,0.022258,7757.89,21.4019
23,0.022396,7779.67,21.4054
23,0.022535,7801.54,21.3987
23,0.022673,7823.18,21.3851
23,0.022811,7844.74,21.3774
23,0.022949,7866.24,21.3763
23,0.023088,7887.84,21.3804
23,0.023226,7909.22,21.3879
23,0.023364,7930.54,21.3965
23,0.023503,7951.95,21.4055
23,0.023641,7973.16,21.4148
23,0.023779,7994.31,21.4245
23,0.023917,8015.41,21.4316
23,0.024056,8036.6,21.4349
23,0.024194,8057.57,21.4436
23,0.024332,8078.5,21.4599
23,0.02447,8099.37,21.4743
23,0.024608,8120.2,21.4887
23,0.024747,8141.12,21.5015
23,0.024885,8161.84,21.5139
23,0.025023,8182.51,21.5265
23,0.025162,8203.28,21.5395
23,0.0253,8223.85,21.5527
23,0.025438,8244.36,21.5662
23,0.025576,8264.83,21.5799
23,0.025715,8285.39,21.5941
23,0.025853,8305.76,21.6084
23,0.025991,8326.07,21.623
23,0.026129,8346.34,21.6378
23,0.026267,8366.56,21.6529
23,0.026406,8386.88,21.6684
23,0.026544,8407.0,21.684
23,0.026682,8427.07,21.6998
23,0.02682,8447.1,21.7159
23,0.026959,8467.23,21.7324
23,0.027097,8487.16,21.749
23,0.027235,8507.05,21.7658
23,0.027374,8527.04,21.7829
23,0.027512,8546.84,21.8002
24,0.000138,2715.58,46.3401
24,0.000276,2780.26,45.2845
24,0.000415,2844.02,44.2863
24,0.000553,2906.01,43.3379
24,0.000691,2966.69,42.4184
24,0.00083,3026.88,41.7191
24,0.000968,3085.41,40.8637
24,0.001106,3142.92,40.117
24,0.001244,3199.48,39.4653
24,0.001383,3255.55,38.8024
24,0.001521,3310.07,37.9995
24,0.001659,3363.92,37.4971
24,0.001797,3416.97,36.9996
24,0.001936,3469.65,36.4083
24,0.002074,3521.19,35.8805
24,0.002212,3572.01,35.3829
24,0.00235,3622.16,34.9069
24,0.002489,3672.01,34.448
24,0.002627,3720.88,34.0114
24,0.002765,3769.14,33.5926
24,0.002903,3816.82,33.1906
24,0.003042,3864.23,32.7222
24,0.00318,3910.5,32.1312
24,0.003318,3956.28,31.8245
24,0.003456,4001.73,31.5905
24,0.003595,4047.04,31.3909
24,0.003733,4091.65,31.1014
24,0.003871,4135.79,30.7684
24,0.004009,4179.43,30.4224
24,0.004148,4222.93,30.0919
24,0.004286,4265.67,29.8104
24,0.004424,4308.0,29.5383
24,0.004562,4349.93,29.2754
24,0.004701,4391.78,29.0192
24,0.004839,4432.95,28.7733
24,0.004977,4473.76,28.5353
24,0.005115,4514.2,28.2917
24,0.005253,4554.13,27.9742
24,0.005392,4594.07,27.8265
24,0.00553,4633.47,27.6239
24,0.005668,4672.54,27.4187
24,0.005806,4711.3,27.2196
24,0.005945,4750.02,27.0252
24,0.006083,4788.17,26.8378
24,0.006221,4826.02,26.656
24,0.006359,4863.59,26.4795
24,0.006498,4901.14,26.3069
24,0.006636,4938.15,26.1405
24,0.006774,4974.88,25.9789
24,0.006912,5011.36,25.8219
24,0.007051,5047.83,25.6683
24,0.007189,5083.79,25.5201
24,0.007327,5119.51,25.376
24,0.007465,5154.98,25.236
24,0.007604,5190.47,25.0989
24,0.007742,5225.47,24.9665
24,0.00788,5260.24,24.8378
24,0.008019,5295.03,24.7118
24,0.008157,5329.36,24.59
24,0.008295,5363.46,24.4716
24,0.008433,5397.36,24.3564
24,0.008571,5431.04,24.2443
24,0.00871,5464.77,24.1344
24,0.008848,5498.05,24.0283
24,0.008986,5531.13,23.925
24,0.009125,5564.25,23.8237
24,0.009263,5596.95,23.7258
24,0.009401,5629.45,23.6305
24,0.009539,5661.77,23.5377
24,0.009677,5693.91,23.4473
24,0.009816,5726.1,23.3587
24,0.009954,5757.88,23.2729
24,0.010092,5789.48,23.1895
24,0.010231,5821.15,23.1076
24,0.010369,5852.41,23.0283
24,0.010507,5883.51,22.9511
24,0.010645,5914.44,22.8759
24,0.010783,5945.22,22.8026
24,0.010922,5976.05,22.7306
24,0.01106,6006.51,22.661
24,0.011198,6036.81,22.5931
24,0.011337,6067.17,22.5265
24,0.011475,6097.17,22.4619
24,0.011613,6127.01,22.399
24,0.011751,6156.71,22.3294
24,0.011889,6186.12,22.145
24,0.012028,6215.84,22.3319
24,0.012166,6245.25,22.2803
24,0.012304,6274.46,22.1361
24,0.012443,6303.65,22.0245
24,0.012581,6332.53,22.0839
24,0.012719,6361.36,22.0856
24,0.012857,6390.11,22.0242
24,0.012995,6418.74,22.0074
24,0.013134,6447.48,21.9711
24,0.013272,6475.53,21.5561
24,0.01341,6503.33,21.5648
24,0.013549,6531.59,21.8227
24,0.013687,6559.65,21.8692
24,0.013825,6587.55,21.7439
24,0.013963,6615.27,21.6741
24,0.014101,6642.87,21.6401
24,0.01424,6670.55,21.6019
24,0.014378,6697.86,21.5255
24,0.014516,6725.07,21.5177
24,0.014655,6752.39,21.5067
24,0.014793,6779.42,21.4806
24,0.014931,6806.35,21.4555
24,0.015069,6833.17,21.4316
