Protein,Charge,Drift,CCS,CCS Std.Dev.,Normalized_Intensity,Scaled_Intensity,m/z
mAb4,21,0.007604,4426.89,27.4539,0.0006969009028034422,48.30047693444412,7004.1120379047625
mAb4,21,0.007742,4458.69,27.2979,0.000939760308325854,65.1324613206898,7004.1120379047625
mAb4,21,0.00788,4490.28,27.146,0.001330447178079299,92.21000142030242,7004.1120379047625
mAb4,21,0.008019,4521.87,26.9972,0.002117100469880154,146.73099432357645,7004.1120379047625
mAb4,21,0.008157,4553.03,26.8533,0.00424476004434824,294.1938140552506,7004.1120379047625
mAb4,21,0.008295,4583.98,26.7132,0.0020801436038223957,144.16960539523473,7004.1120379047625
mAb4,21,0.008433,4614.72,26.5768,0.004107491684705137,284.68008374998124,7004.1120379047625
mAb4,21,0.008571,4645.27,26.444,0.0051581225912042655,357.4967118556963,7004.1120379047625
mAb4,21,0.00871,4675.84,26.3136,0.005522411699487883,382.74468843506475,7004.1120379047625
mAb4,21,0.008848,4705.99,26.1876,0.010870598173274907,753.4142576365186,7004.1120379047625
mAb4,21,0.008986,4735.96,26.0648,0.01589145240483607,1101.3972391869456,7004.1120379047625
mAb4,21,0.009125,4765.96,25.9443,0.019191172588564488,1330.0926792174573,7004.1120379047625
mAb4,21,0.009263,4795.56,25.8277,0.030067050314133363,2083.872849558025,7004.1120379047625
mAb4,21,0.009401,4824.98,25.714,0.04028298400295655,2791.91393189249,7004.1120379047625
mAb4,21,0.009539,4854.23,25.6033,0.07879731798743467,5461.247107928625,7004.1120379047625
mAb4,21,0.009677,4883.3,25.4953,0.1557045562536297,10791.497467807774,7004.1120379047625
mAb4,21,0.009816,4912.41,25.3893,0.29846365028245603,20685.77698528784,7004.1120379047625
mAb4,21,0.009954,4941.15,25.2867,0.4943244812839871,34260.40648009093,7004.1120379047625
mAb4,21,0.010092,4969.72,25.1866,0.6823610157858614,47292.75334749368,7004.1120379047625
mAb4,21,0.010231,4998.34,25.0883,0.8961036904070535,62106.72917091012,7004.1120379047625
mAb4,21,0.010369,5026.6,24.9932,1.0,69307.52527388683,7004.1120379047625
mAb4,21,0.010507,5054.69,24.9004,0.9860778206008131,68342.61347331009,7004.1120379047625
mAb4,21,0.010645,5082.64,24.81,0.8588511694208331,59524.849131141644,7004.1120379047625
mAb4,21,0.010783,5110.43,24.7217,0.647848582440209,44900.78200112654,7004.1120379047625
mAb4,21,0.010922,5138.28,24.635,0.47197085687133733,32711.132091148236,7004.1120379047625
mAb4,21,0.01106,5165.78,24.5511,0.32717385565704027,22675.61026990532,7004.1120379047625
mAb4,21,0.011198,5193.14,24.4692,0.21478802597539728,14886.426538818108,7004.1120379047625
mAb4,21,0.011337,5220.55,24.3887,0.13076923076923078,9063.291766585202,7004.1120379047625
mAb4,21,0.011475,5247.62,24.3108,0.07162768597222956,4964.337655830329,7004.1120379047625
mAb4,21,0.011613,5274.56,24.2348,0.04431656195554617,3071.4712377857877,7004.1120379047625
mAb4,21,0.011751,5301.36,24.1607,0.023193073227390316,1607.4545088864622,7004.1120379047625
mAb4,21,0.011889,5328.03,24.0883,0.017316931524206748,1200.1936692801269,7004.1120379047625
mAb4,21,0.012028,5354.76,24.0173,0.012607570877989546,873.79953726858,7004.1120379047625
mAb4,21,0.012166,5381.16,23.9485,0.007343857240905971,508.9845713319074,7004.1120379047625
mAb4,21,0.012304,5407.44,23.8813,0.0068634179821551134,475.68651526346486,7004.1120379047625
mAb4,21,0.012443,5433.78,23.8154,0.005738873343540468,397.7471093010664,7004.1120379047625
mAb4,21,0.012581,5459.81,23.7515,0.004931101842563751,341.7624655815971,7004.1120379047625
mAb4,21,0.012719,5485.71,23.6892,0.004878306319624096,338.1033385411089,7004.1120379047625
mAb4,21,0.012857,5511.5,23.6284,0.0027770445066258383,192.47008232967886,7004.1120379047625
mAb4,21,0.012995,5537.16,23.5691,0.003848793622300829,266.75036125158914,7004.1120379047625
mAb4,21,0.013134,5562.9,23.5109,0.002127659574468085,147.4628197316741,7004.1120379047625
mAb4,21,0.013272,5588.33,23.4545,0.0022121324111715325,153.3174229964552,7004.1120379047625
mAb4,21,0.01341,5613.64,23.3995,0.0019111979304155008,132.46039886567252,7004.1120379047625
mAb4,21,0.013549,5639.03,23.3454,0.0022438097249353256,155.51289922074812,7004.1120379047625
mAb4,21,0.013687,5664.12,23.2931,0.0022121324111715325,153.3174229964552,7004.1120379047625
mAb4,21,0.013825,5689.1,23.2421,0.0016947362863629165,117.45797799967094,7004.1120379047625
mAb4,21,0.013963,5713.97,23.1924,0.002718969431392218,188.44504258514183,7004.1120379047625
